No,Tensile Strength,Warp/Weft Count,Yarn Height,Yarn Width,Thickness,Global density,Area_density(g/m^2),Filament Count,Weave,E1,E2,E3,Poisson's ratio 12,Poisson's ratio 21,Poisson's ratio 13,Poisson's ratio 31,Poisson's ratio 23,Poisson's ratio 32,Shear modulus 12,Shear modulus 13,Shear modulus 23
0,0.48852,8.459577016,0.074887149,0.872423824,0.149774299,1.4395,114.12,1000,Plain,58.157,58.157,17.457,0.078716,0.078716,0.5343,0.16038,0.5343,0.16038,4.7624,4.6801,4.6801
1,0.48219,9.521135727,0.083347410,0.783867588,0.166694820,1.4424,128.55,1000,Plain,58.448,58.448,17.63,0.077937,0.077937,0.53712,0.16202,0.53712,0.16202,4.8389,4.8316,4.8316
2,0.46748,8.058164004,0.081439481,0.802231696,0.162878963,1.4098,108.71,1000,Plain,51.091,51.091,15.259,0.078952,0.078952,0.54444,0.1626,0.54444,0.1626,4.071,4.0245,4.0245
3,0.46229,7.513645618,0.077042185,0.848020250,0.154084371,1.4067,101.33,1000,Plain,50.524,50.524,15.078,0.079452,0.079452,0.54379,0.16229,0.54379,0.16229,4.0078,3.9363,3.9363
4,0.46671,7.323185082,0.073161468,0.893001952,0.146322935,1.4121,98.74,1000,Plain,51.857,51.857,15.452,0.079385,0.079385,0.54136,0.16131,0.54136,0.16131,4.1198,4.0296,4.0296
5,0.47857,7.651910740,0.070622126,0.925111390,0.141244252,1.4296,103.18,1000,Plain,55.973,55.973,16.71,0.079032,0.079032,0.53582,0.15996,0.53582,0.15996,4.5147,4.4073,4.4073
6,0.48344,8.209462545,0.074827432,0.873120079,0.149654864,1.4325,110.73,1000,Plain,56.542,56.542,16.914,0.078708,0.078708,0.53626,0.16042,0.53626,0.16042,4.5868,4.5039,4.5039
7,0.48711,8.388686160,0.070556690,0.925969364,0.141113380,1.4520,113.14,1000,Plain,61.271,61.271,18.537,0.079374,0.079374,0.52898,0.16004,0.52898,0.16004,5.1073,4.9919,4.9919
8,0.47668,8.885858569,0.080407831,0.812524506,0.160815662,1.4344,119.92,1000,Plain,56.748,56.748,17.019,0.078223,0.078223,0.53788,0.16131,0.53788,0.16131,4.6316,4.5906,4.5906
9,0.47363,8.467180800,0.080055250,0.816103041,0.160110501,1.4243,114.24,1000,Plain,54.44,54.44,16.267,0.078428,0.078428,0.54037,0.16146,0.54037,0.16146,4.3884,4.3391,4.3391
10,0.49230,9.398268251,0.076457077,0.854509957,0.152914153,1.4607,126.85,1000,Plain,63.116,63.116,19.289,0.079248,0.079248,0.52854,0.16153,0.52854,0.16153,5.3696,5.3047,5.3047
11,0.48658,10.073411027,0.078040127,0.837176149,0.156080255,1.4739,136.02,1000,Plain,66.201,66.201,20.577,0.080001,0.080001,0.52509,0.16321,0.52509,0.16321,5.8085,5.7676,5.7676
12,0.46897,7.095856576,0.070597899,0.925428863,0.141195798,1.4129,95.67,1000,Plain,52.108,52.108,15.519,0.079494,0.079494,0.5405,0.16098,0.5405,0.16098,4.1379,4.0362,4.0362
13,0.49128,9.346636286,0.072021897,0.907131529,0.144043794,1.4752,126.12,1000,Plain,66.84,66.84,20.769,0.080773,0.080773,0.52182,0.16214,0.52182,0.16214,5.8549,5.7459,5.7459
14,0.48411,8.460566808,0.072901246,0.896189529,0.145802492,1.4460,114.13,1000,Plain,59.767,59.767,18.007,0.07899,0.07899,0.53165,0.16018,0.53165,0.16018,4.9378,4.8409,4.8409
15,0.48780,8.955414400,0.075034957,0.870705281,0.150069914,1.4531,120.84,1000,Plain,61.359,61.359,18.603,0.07903,0.07903,0.5303,0.16078,0.5303,0.16078,5.1382,5.0581,5.0581
16,0.47609,7.491354285,0.070784694,0.922986729,0.141569388,1.4242,101.01,1000,Plain,54.723,54.723,16.313,0.079106,0.079106,0.53739,0.1602,0.53739,0.1602,4.3884,4.2836,4.2836
17,0.46079,7.693355212,0.079076752,0.826201531,0.158153503,1.4062,103.77,1000,Plain,50.36,50.36,15.038,0.079349,0.079349,0.54451,0.1626,0.54451,0.1626,3.9982,3.937,3.937
18,0.49519,9.802605990,0.077680915,0.841047418,0.155361831,1.4677,132.34,1000,Plain,64.731,64.731,19.953,0.07956,0.07956,0.52691,0.16242,0.52691,0.16242,5.5961,5.5473,5.5473
19,0.49365,10.388915515,0.079261915,0.824271445,0.158523830,1.4782,140.32,1000,Plain,67.164,67.164,21.019,0.080243,0.080243,0.52434,0.16409,0.52434,0.16409,5.9636,5.942,5.942
20,0.47501,8.096984624,0.076485334,0.854194262,0.152970668,1.4244,109.22,1000,Plain,54.599,54.599,16.297,0.078707,0.078707,0.53906,0.16091,0.53906,0.16091,4.3917,4.3187,4.3187
21,0.48118,9.423129155,0.082715507,0.789855925,0.165431014,1.4417,127.22,1000,Plain,58.324,58.324,17.58,0.077999,0.077999,0.53699,0.16186,0.53699,0.16186,4.8207,4.8063,4.8063
22,0.49465,10.067362033,0.076810886,0.850573882,0.153621772,1.4781,135.93,1000,Plain,67.299,67.299,21.035,0.080532,0.080532,0.52305,0.16348,0.52305,0.16348,5.9601,5.906,5.906
23,0.48214,10.131123322,0.070231053,0.930262765,0.140462106,1.5060,136.76,1000,Plain,74.751,74.751,24.541,0.085171,0.085171,0.50933,0.16722,0.50933,0.16722,7.1506,7.0098,7.0098
24,0.48504,10.073498762,0.084276635,0.775224747,0.168553271,1.4537,136.07,1000,Plain,61.011,61.011,18.58,0.078063,0.078063,0.53457,0.16279,0.53457,0.16279,5.1568,5.1734,5.1734
25,0.47536,7.344213918,0.070763686,0.923260747,0.141527372,1.4199,99.02,1000,Plain,53.713,53.713,16.001,0.079219,0.079219,0.53862,0.16045,0.53862,0.16045,4.2895,4.186,4.186
26,0.48958,8.473876688,0.073526078,0.888573621,0.147052156,1.4443,114.31,1000,Plain,59.343,59.343,17.861,0.078902,0.078902,0.53238,0.16023,0.53238,0.16023,4.8912,4.7989,4.7989
27,0.48793,10.352613356,0.070950152,0.920834301,0.141900303,1.5096,139.77,1000,Plain,75.648,75.648,25.044,0.085766,0.085766,0.50819,0.16824,0.50819,0.16824,7.3305,7.198,7.198
28,0.48363,8.866078497,0.076324868,0.855990122,0.152649737,1.4463,119.63,1000,Plain,59.707,59.707,18.01,0.0787,0.0787,0.53285,0.16073,0.53285,0.16073,4.946,4.8758,4.8758
29,0.47966,9.421569899,0.082957437,0.787552455,0.165914874,1.4410,127.20,1000,Plain,58.141,58.141,17.518,0.077968,0.077968,0.5373,0.16189,0.5373,0.16189,4.801,4.7883,4.7883
30,0.48405,8.104304709,0.071224360,0.917289163,0.142448719,1.4411,109.30,1000,Plain,58.673,58.673,17.614,0.079025,0.079025,0.53256,0.15988,0.53256,0.15988,4.8067,4.6992,4.6992
31,0.48827,9.402753247,0.077096679,0.847420848,0.154193359,1.4587,126.91,1000,Plain,62.599,62.599,19.095,0.079075,0.079075,0.52947,0.1615,0.52947,0.1615,5.3066,5.2473,5.2473
32,0.49155,9.921189852,0.071883147,0.908882490,0.143766293,1.4928,133.92,1000,Plain,71.24,71.24,22.779,0.082838,0.082838,0.51536,0.16479,0.51536,0.16479,6.5423,6.428,6.428
33,0.48278,9.625505102,0.082621332,0.790756231,0.165242665,1.4472,129.97,1000,Plain,59.602,59.602,18.035,0.078085,0.078085,0.53546,0.16202,0.53546,0.16202,4.9703,4.9602,4.9602
34,0.48439,10.461013811,0.070649364,0.924754726,0.141298728,1.5142,141.24,1000,Plain,76.888,76.888,25.732,0.08674,0.08674,0.50607,0.16936,0.50607,0.16936,7.5729,7.4338,7.4338
35,0.48847,9.618579790,0.077296611,0.845228948,0.154593222,1.4640,129.84,1000,Plain,63.852,63.852,19.591,0.079352,0.079352,0.52791,0.16197,0.52791,0.16197,5.4731,5.4181,5.4181
36,0.47842,7.981553972,0.073591166,0.887787722,0.147182331,1.4299,107.65,1000,Plain,55.956,55.956,16.717,0.078823,0.078823,0.53662,0.16032,0.53662,0.16032,4.5212,4.4306,4.4306
37,0.48823,9.762477650,0.084287107,0.775128437,0.168574213,1.4458,131.84,1000,Plain,59.18,59.18,17.902,0.077875,0.077875,0.5367,0.16236,0.5367,0.16236,4.9316,4.9381,4.9381
38,0.47573,8.567627342,0.079209010,0.824821991,0.158418020,1.4293,115.60,1000,Plain,55.641,55.641,16.646,0.078384,0.078384,0.53873,0.16117,0.53873,0.16117,4.5085,4.4556,4.4556
39,0.48804,10.180084261,0.084602311,0.772240529,0.169204622,1.4554,137.52,1000,Plain,61.388,61.388,18.729,0.078083,0.078083,0.53429,0.163,0.53429,0.163,5.2078,5.2308,5.2308
